Wavelength (nm),PkCsBr10-12_n,PkCsBr10-12_k
2066.66666666667,2.082334,0
1907.69230769231,2.087011,0
1771.42857142857,2.091907,0
1653.33333333333,2.097036,0
1550,2.102419,0
1458.82352941176,2.108077,0
1377.77777777778,2.114035,0
1305.26315789474,2.120322,0
1240,2.126973,0
1180.95238095238,2.134028,0
1127.27272727273,2.14154,0
1078.26086956522,2.149572,0
1033.33333333333,2.158212,0
992,2.167578,0
953.846153846154,2.177842,0
918.518518518518,2.189268,0
885.714285714286,2.20229,0
855.172413793103,2.217663,0
826.666666666667,2.236807,0
800,2.262498,0
775,2.300015,0
751.515151515152,2.356003,0.002666
729.411764705882,2.419585,0.03979
708.571428571429,2.441577,0.109057
688.888888888889,2.422656,0.152125
670.27027027027,2.40661,0.163865
652.631578947368,2.404476,0.164738
635.897435897436,2.412844,0.164661
620,2.428135,0.166922
604.878048780488,2.448147,0.172741
590.47619047619,2.471485,0.182846
576.744186046512,2.497044,0.197928
563.636363636364,2.523665,0.218705
551.111111111111,2.549903,0.24583
539.130434782609,2.573887,0.279669
527.659574468085,2.593344,0.31996
516.666666666667,2.605865,0.365452
506.122448979592,2.609478,0.413695
496,2.603395,0.461252
486.274509803922,2.588575,0.504451
476.923076923077,2.567687,0.540444
467.924528301887,2.544371,0.568027
459.259259259259,2.522185,0.587803
450.909090909091,2.503786,0.601705
442.857142857143,2.490614,0.612282
435.087719298246,2.482996,0.622099
427.586206896552,2.480437,0.633395
420.338983050847,2.48191,0.647971
413.333333333333,2.486045,0.667189
406.55737704918,2.491241,0.69201
400,2.495708,0.723006
393.650793650794,2.497493,0.760322
387.5,2.49453,0.803604
381.538461538462,2.484748,0.851897
375.757575757576,2.466253,0.903564
370.149253731343,2.437599,0.956278
364.705882352941,2.398092,1.007153
359.420289855072,2.348047,1.053036
354.285714285714,2.288891,1.090944
349.295774647887,2.223045,1.11853
344.444444444444,2.153569,1.134451
339.72602739726,2.08368,1.13851
335.135135135135,2.016285,1.131554
330.666666666667,1.953648,1.115184
326.315789473684,1.897252,1.091395
322.077922077922,1.847828,1.062245
317.948717948718,1.805498,1.029627
313.924050632911,1.769949,0.995133
310,1.740604,0.960018
